Timepoint,Nutrients,Tile,Caging,Bare,CCA,Cyanobacteria,EAM,Inverts,Lobophora,Long_turf,Macroalgae,NCCA,Sand,Thick_turf,Turf
2,Nutrient,49,Caged,0,22.83333334,0,0,0,0,0,0,0,14,0,63.16666667
2,Nutrient,51,Open,0,74,0,0,0,0,0,0,0,8,0,18
2,Nutrient,58,Caged,0,6.25,0,0,0,0,2,0,0,30.08333333,0,61.66666667
2,Nutrient,60,Open,0,77.91666667,0,8.083333334,0,0,0,0,0,2,0,12
2,Normal,61,Caged,0,56.91666667,0,32.91666667,0,0,0,0,4.166666667,0,0,6
2,Normal,63,Open,47.65217392,28,0,24.34782609,0,0,0,0,0,0,0,0
2,Nutrient,64,Caged,0,0,0,0,0,0,20.41666667,2,0,0,0,77.58333334
2,Nutrient,66,Open,0,89.47826087,0,8.347826087,0,0,0,0,2.173913044,0,0,0
2,Normal,70,Caged,0,0,0,0,0,0,0,6.083333334,0,0,2.083333334,91.83333334
2,Normal,72,Open,4.166666667,73.83333334,0,0,0,0,0,0,0,2,0,20
2,Nutrient,73,Caged,0,18.58333334,0,2.083333334,2,0,51.08333334,12.16666667,0,2,0,12.08333333
2,Normal,76,Caged,0,55.75,0,0,0,0,0,0,0,4,0,40.25
2,Normal,79,Caged,0,55.83333334,0,0,0,0,0,0,0,0,0,44.16666667
2,Normal,81,Open,0,76,0,2,0,0,0,0,0,0,0,22
3,Nutrient,49,Caged,0,0,0,0,0,0,0,0,0,0,0,100
3,Nutrient,51,Open,0,66,0,6,0,0,0,0,0,0,0,28
3,Nutrient,58,Caged,0,0,0,0,2,0,0,4.083333334,0,0,73.91666667,20
3,Nutrient,60,Open,0,39.58333334,0,6.083333334,4,0,0,0,0,0,0,50.33333334
3,Normal,61,Caged,0,26.83333334,0,12.41666667,2,0,0,0,10.41666667,0,0,48.33333334
3,Normal,63,Open,0,41.41666667,0,14.25,0,0,2,0,8.333333335,0,0,34
3,Nutrient,64,Caged,0,0,10.16666667,0,0,0,0,79.58333334,0,0,0,10.25
3,Nutrient,66,Open,0,14.41666667,0,20.66666667,0,0,0,0,0,10,0,54.91666667
3,Normal,70,Caged,0,0,0,0,0,0,0,36.58333334,0,0,0,63.41666667
3,Normal,72,Open,0,24.66666667,0,34.91666667,0,0,0,0,2,2,0,36.41666667
3,Nutrient,73,Caged,0,8.333333335,0,0,2,0,4.083333334,32.58333334,0,2,4.083333334,46.91666667
3,Nutrient,75,Open,0,51.75,0,8.166666667,0,0,0,0,2.083333334,2,0,36
3,Normal,76,Caged,0,0,0,0,0,0,0,0,0,4,0,96
3,Normal,79,Caged,0,0,0,2.083333334,0,0,0,0,0,0,0,97.91666667
3,Normal,81,Open,0,33.08333334,0,20.58333334,0,0,0,0,0,2,0,44.33333334
4,Nutrient,49,Caged,0,0,0,0,0,2,0,0,0,46,0,52
4,Nutrient,51,Open,0,65.91666667,0,6.083333334,0,0,0,0,0,28,0,0
4,Nutrient,58,Caged,0,0,0,0,0,0,0,18.25,0,40.33333334,0,41.41666667
4,Nutrient,60,Open,0,50,0,2,0,0,0,0,0,48,0,0
4,Normal,61,Caged,0,41.58333334,0,6,0,6.166666667,0,0,10.25,30,0,6
4,Normal,63,Open,0,43.58333334,0,10.16666667,0,0,0,0,2,36,0,8.25
4,Nutrient,64,Caged,0,0,0,0,0,0,0,61.08333334,0,8,4.166666667,26.75
4,Nutrient,66,Open,0,45.41666667,0,2.083333334,0,0,0,0,10.41666667,40.08333333,0,2
4,Normal,70,Caged,0,22.83333334,0,0,0,0,0,51,0,8,0,18.16666667
4,Normal,72,Open,0,51.75,0,2.083333334,0,0,0,0,0,32.08333333,0,14.08333333
4,Nutrient,73,Caged,0,41.41666667,0,0,2,14.16666667,0,8.166666667,0,22,0,12.25
4,Nutrient,75,Open,0,59.83333334,0,10.08333333,0,2,0,0,2.083333334,22,0,4
4,Normal,76,Caged,0,20.75,0,2,0,0,0,0,0,10,0,67.25
4,Normal,79,Caged,0,25,0,0,0,2.083333334,0,0,0,16,0,56.91666667
4,Normal,81,Open,0,49.83333334,0,10,0,0,0,0,2.083333334,6,0,32.08333333
5,Nutrient,49,Caged,0,26.83333334,0,0,0,0,0,0,0,0,0,73.16666667
5,Nutrient,51,Open,0,74,0,0,0,2,0,0,0,0,0,24
5,Nutrient,58,Caged,0,4.166666667,0,0,4,2.083333334,0,10.16666667,0,6,14.33333334,59.25
5,Nutrient,60,Open,0,59.91666667,0,4,2,6.083333334,0,0,0,18,0,10
5,Normal,61,Caged,0,41.41666667,0,0,2,10.25,0,0,10.25,0,0,36.08333333
5,Normal,63,Open,0,55.66666667,0,12.16666667,0,4.083333334,0,0,0,0,0,28.08333333
5,Nutrient,64,Caged,0,0,0,0,0,0,0,87.66666667,0,2,0,10.33333334
5,Nutrient,66,Open,0,35.16666667,0,0,0,2.083333334,0,0,24.5,6,0,32.25
5,Normal,70,Caged,0,0,0,0,0,0,0,100,0,0,0,0
5,Normal,72,Open,0,49.58333334,0,2.083333334,0,4,0,0,6.083333334,0,0,38.25
5,Nutrient,73,Caged,0,12.5,0,0,0,20.25,0,0,0,0,0,67.25
5,Nutrient,75,Open,0,51.66666667,0,18.33333334,0,0,0,0,6,2,0,22
5,Normal,76,Caged,0,31.16666667,0,6,2,4.083333334,0,0,6.25,6,0,44.5
5,Normal,79,Caged,0,22.83333334,0,0,0,4.083333334,0,0,4.083333334,4,0,65
5,Normal,81,Open,0,55.33333334,0,16.5,0,4.166666667,0,0,0,0,0,24