Timepoint,Tile,Tile_treatment,Plot,Plot_treatment,alive,dead,total
2,49,Caged,10,Nutrient,70,264,334
2,51,Open,10,Nutrient,18,678,696
2,58,Caged,16,Nutrient,106,70,176
2,60,Open,16,Nutrient,41,817,858
2,61,Caged,17,Normal,72,301,373
2,63,Open,17,Normal,8,641,649
2,64,Caged,18,Nutrient,157,411,568
2,66,Open,18,Nutrient,53,1015,1068
2,70,Caged,20,Normal,186,192,378
2,72,Open,20,Normal,0,294,294
2,73,Caged,21,Nutrient,290,452,742
2,76,Caged,22,Normal,265,405,670
2,79,Caged,23,Normal,383,309,692
2,81,Open,23,Normal,4,752,756
3,49,Caged,10,Nutrient,61,9,70
3,51,Open,10,Nutrient,16,2,18
3,58,Caged,16,Nutrient,88,18,106
3,60,Open,16,Nutrient,3,38,41
3,61,Caged,17,Normal,56,16,72
3,63,Open,17,Normal,7,1,8
3,64,Caged,18,Nutrient,141,16,157
3,66,Open,18,Nutrient,16,37,53
3,70,Caged,20,Normal,164,22,186
3,72,Open,20,Normal,0,0,0
3,73,Caged,21,Nutrient,283,7,290
3,75,Open,21,Nutrient,1,1,2
3,76,Caged,22,Normal,254,11,265
3,79,Caged,23,Normal,335,48,383
3,81,Open,23,Normal,0,4,4
4,49,Caged,10,Nutrient,56,5,61
4,51,Open,10,Nutrient,14,2,16
4,58,Caged,16,Nutrient,75,13,88
4,60,Open,16,Nutrient,3,0,3
4,61,Caged,17,Normal,52,4,56
4,63,Open,17,Normal,6,1,7
4,64,Caged,18,Nutrient,123,18,141
4,66,Open,18,Nutrient,5,11,16
4,70,Caged,20,Normal,153,11,164
4,72,Open,20,Normal,0,0,0
4,73,Caged,21,Nutrient,275,8,283
4,75,Open,21,Nutrient,1,0,1
4,76,Caged,22,Normal,238,16,254
4,79,Caged,23,Normal,317,18,335
4,81,Open,23,Normal,0,0,0
5,49,Caged,10,Nutrient,54,2,56
5,51,Open,10,Nutrient,4,10,14
5,58,Caged,16,Nutrient,65,10,75
5,60,Open,16,Nutrient,3,0,3
5,61,Caged,17,Normal,50,2,52
5,63,Open,17,Normal,0,6,6
5,64,Caged,18,Nutrient,113,10,123
5,66,Open,18,Nutrient,5,0,5
5,70,Caged,20,Normal,143,10,153
5,72,Open,20,Normal,0,0,0
5,73,Caged,21,Nutrient,267,8,275
5,75,Open,21,Nutrient,0,1,1
5,76,Caged,22,Normal,227,11,238
5,79,Caged,23,Normal,304,13,317
5,81,Open,23,Normal,0,0,0