,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
ord1,0.105396554,0.433401945,0.242291311,0.227178535,3.356851516,0.18598382,0.642459236,0.157620974,2.922737636,0.944777566,0.070376279,0.22837307,0.023168986,0.651183876,0.342773657,0.442446801
ord2,1.310125713,0.714037149,0.786809151,0.985463644,2.369930499,1.167183533,2.152373982,1.154135799,0.657732585,0.307800156,1.161990554,0.639444597,1.357455826,0.888963772,1.438525511,0.999016785
ord3,4.747918828,5.547474711,5.275574485,4.538965724,3.647590074,5.146364875,6.594017268,4.511462548,4.410872039,3.856032438,7.023552595,5.400566365,5.071438212,5.928598069,6.512699483,4.319123534
ord4,7.292940537,9.279875886,4.761661863,6.738606536,5.320988769,5.545718478,6.470675938,6.627086289,6.337642275,6.563843055,11.65118389,9.9881246,5.045624625,7.81070353,6.290739492,5.400660159
ord5,8.010340613,7.361661271,9.968374608,9.243710378,4.415457592,9.670780532,5.168137275,6.870523126,9.099390762,9.999832653,9.636858403,11.50817576,9.94866738,10.05803152,8.943020904,7.291593511
ord6,0.749546642,0.727548045,0.271621311,0.385282515,0.765952416,1.514575746,1.160221743,1.050806494,1.232501919,0.637844835,0.950861718,0.390974696,2.317969111,1.552061815,1.677343223,2.368494979
ord7,0.004355148,0.163901612,0.072687393,0.038374752,0.105113245,0.235024088,0.162647908,3.322299865,0.031555927,0.018233692,0.042225767,0.023750799,0.339467481,0.352630827,0.185434929,0.194887281
ord8,4.768062802,6.815538638,3.246703563,3.09454004,3.580004458,4.452337969,3.605361959,3.504439657,8.649189782,2.439282841,2.668042914,2.278249749,5.39998489,5.04942815,4.464486401,3.256900063
ord9,4.204196651,3.742810753,2.019944401,2.205780773,2.459335711,2.653827746,1.227991705,0.912450306,5.926075353,2.343544653,1.729692534,1.976797296,2.151081383,1.509667766,2.357271297,3.36224454
ord10,2.042868136,2.882745378,0.985743069,1.54266505,1.912289572,3.024051169,1.176486534,2.359060579,2.148867054,4.108875492,5.515936317,4.342742304,2.932664973,2.604675387,2.236457631,1.18512536
ord11,0.36941541,0.475999611,0.374913923,0.234853485,0.431457672,0.446915151,0.68854281,0.649748682,0.253291154,0.163061345,0.264302024,0.434822326,0.7758365,0.797704473,0.963699708,1.056956247
ord12,0.918365114,1.468993486,0.768956107,0.976253703,0.856084523,1.441001697,1.122270565,0.609467767,0.740991752,0.792120474,0.819492665,1.304466977,0.682877932,0.479268175,0.488873904,1.348409298
ord13,1.740873559,1.893511873,0.890101762,0.990068614,0.954078122,1.516719241,3.990295341,2.273244715,1.715103235,1.243828361,0.727221545,1.101671691,1.145349814,0.81434899,0.963699708,2.068263221
ord14,4.083488134,5.16860138,8.629396312,5.601178872,2.198332428,3.520830375,4.402336708,4.276782431,4.083122777,2.145506862,1.612398736,2.769708596,1.509925568,1.802772835,2.643852551,5.07233654
ord15,0.076033779,0.063858771,0.019128261,0.079819485,0.336705985,1.021171102,0.196532889,0.385295714,0.154069116,1.08607333,0.167339151,0.270393715,0.351795028,0.562150112,0.292200494,1.167567947
ord16,4.317868435,2.573020314,2.545333979,3.019325525,2.621504509,2.519112431,1.980238279,2.420357624,2.922158899,1.878375527,1.842294579,1.112633598,1.799347795,1.396382351,1.666104743,1.912002247
ord17,13.70006721,8.643182207,8.083603254,8.321181328,10.75906667,9.055515396,11.04243755,7.844270478,11.25460942,6.891123119,8.56713897,7.337170001,7.83252957,6.982170986,8.66486851,9.876044666
ord18,0.242073945,0.479533635,0.158126961,0.575621287,1.437632084,0.411694253,0.311741824,0.457100825,0.284489324,0.111922851,0.664664853,0.279528638,1.446830731,0.611905821,1.123848056,0.424889388
ord19,0.431166642,0.438692968,0.277997399,0.360722673,2.659507748,0.887413557,0.51234091,0.746072611,0.11460617,0.261708718,0.442588596,0.255777839,1.009367341,0.948904075,0.823218701,2.396586839
ord20,2.391040223,1.963229877,3.370399653,3.625646615,2.208167192,1.159622099,1.370308624,1.576209741,2.598098501,1.367614903,0.760063808,2.404311684,1.17070163,0.723212428,0.823218701,1.808413512
ord21,0.232975507,0.12773756,0.182356092,0.14735905,1.334528671,1.417562957,0.28192304,0.323998669,0.056188846,0.017161121,0.423821588,0.193660364,0.97960487,0.785618729,0.744549337,1.164056465
ord22,2.742066932,4.924656883,2.75319442,2.78447204,2.826833888,1.867366607,2.389568848,4.155939684,1.665267924,1.06924981,1.047824591,1.289851101,0.896407136,0.944951471,0.901888065,1.882154646
ord23,1.08569133,2.809182262,0.591700885,0.620136,1.678386879,1.574416801,2.168638773,1.077076656,0.445578748,0.37265511,0.838259673,0.827624007,1.302045889,1.321765063,1.118228815,2.217501229
ord24,8.477648869,3.934182274,2.838633987,5.593503922,0.546705801,1.821337124,1.352688434,1.09108741,4.955388442,10.95436996,4.632323043,4.967571024,3.113199962,3.225623602,1.874016633,1.200927031
ord25,0.853854723,0.784307971,0.836542631,0.901039188,0.453887497,0.472606545,0.607218856,1.313508117,2.075595777,1.122876699,0.434769009,0.85320179,0.762145723,0.763631429,1.036749831,0.835732846
ord26,4.098859515,4.693866023,13.00721773,9.237570418,7.749137763,7.316263114,6.8908497,5.402896723,5.523756726,4.329023734,5.43930437,5.98337444,7.714289219,8.858884801,7.923128793,6.303111174
ord27,0.230945082,0.178875392,0.13389783,0.205688673,0.887969213,0.815326027,0.578755472,0.761834708,0.091877162,0.079936355,0.273685528,0.191833379,0.713609677,0.64279649,0.907507305,1.18512536
ord28,2.007466762,0.778384057,0.739626106,1.24334198,0.737108557,1.06888715,1.257810488,0.812623689,1.592065818,2.004185252,2.424071815,2.099205262,1.48342875,1.432013392,1.845920432,1.176346654
ord29,0.647263232,0.596860073,0.153026091,0.494266812,1.671738861,1.653194167,0.656013229,1.241703007,0.343210603,0.257425706,0.631822589,0.537133461,1.362342017,1.559424728,1.505956395,1.037643093
ord30,1.139645813,1.527573556,1.60422352,2.144381169,1.177341399,2.553065944,1.420458396,2.099861644,1.56057854,17.15732064,3.456257233,4.187448616,3.277650506,3.041648444,2.907956844,1.627572161
ord31,0.824754336,2.256485929,10.02830983,8.50384515,2.237822689,1.596009554,1.381151818,1.413334734,2.202952329,1.737676622,1.729692534,2.460948205,1.913030774,2.124435336,1.882445493,3.523772737
ord32,0.102827961,0.444342786,0.179805657,0.293183109,1.233173165,0.194580174,1.013838626,0.380041682,0.488006301,0.326180842,0.228331926,0.319722298,0.072306405,0.01964028,0,0.45473699
ord33,0.612797428,2.251715374,1.500930909,1.23873701,2.669449191,0.875790004,1.421813795,3.413369761,1.151446076,0.576900562,0.616183416,0.529825523,1.807721562,1.348893499,2.798381659,1.100849779
ord34,1.689312115,3.318829782,2.299217017,2.905736258,2.516402232,3.02777105,4.630043779,2.984290443,2.971757863,3.230844415,2.136311032,4.06504065,1.961063012,1.902096389,1.941447516,2.110401011
