Tile,Settlement,Rhodobacterales,Flavobacteriales,Cytophagales,Cellvibrionales,Chitinophagales,Nostocales,Alteromonadales,Caulobacterales,Vibrionales,Gammaproteobacteria_unclassified,Verrucomicrobiales,Synechococcales,Phormidesmiales,Rhizobiales,Alphaproteobacteria_unclassified,Sphingomonadales,Pirellulales,Opitutales,Oceanospirillales,Myxococcales,Thermoanaerobaculales,Eurycoccales,Phycisphaerales,Steroidobacterales,Arenicellales,Rhodovibrionales,Acanthopleuribacterales,Rhodospirillales,Thalassobaculales,OM190,KI89A clade,Kordiimonadales,Methylacidiphilales,Limnotrichales
1,37,13.70,8.01,7.29,4.10,4.75,4.77,8.48,4.08,1.14,0.82,1.69,2.04,4.20,4.32,2.74,2.39,1.74,0.61,2.01,1.09,1.31,0.75,0.92,0.65,0.85,0.43,0.11,0.24,0.23,0.37,0.23,0.08,0.10,0.00
3,18,8.08,9.97,4.76,13.01,5.28,3.25,2.84,8.63,1.60,10.03,2.30,0.99,2.02,2.55,2.75,3.37,0.89,1.50,0.74,0.59,0.79,0.27,0.77,0.15,0.84,0.28,0.24,0.16,0.18,0.37,0.13,0.02,0.18,0.07
7,8,10.76,4.42,5.32,7.75,3.65,3.58,0.55,2.20,1.18,2.24,2.52,1.91,2.46,2.62,2.83,2.21,0.95,2.67,0.74,1.68,2.37,0.77,0.86,1.67,0.45,2.66,3.36,1.44,1.33,0.43,0.89,0.34,1.23,0.11
8,4,11.04,5.17,6.47,6.89,6.59,3.61,1.35,4.40,1.42,1.38,4.63,1.18,1.23,1.98,2.39,1.37,3.99,1.42,1.26,2.17,2.15,1.16,1.12,0.66,0.61,0.51,0.64,0.31,0.28,0.69,0.58,0.20,1.01,0.16
9,15,9.06,9.67,5.55,7.32,5.15,4.45,1.82,3.52,2.55,1.60,3.03,3.02,2.65,2.52,1.87,1.16,1.52,0.88,1.07,1.57,1.17,1.51,1.44,1.65,0.47,0.89,0.19,0.41,1.42,0.45,0.82,1.02,0.19,0.24
13,18,11.25,9.10,6.34,5.52,4.41,8.65,4.96,4.08,1.56,2.20,2.97,2.15,5.93,2.92,1.67,2.60,1.72,1.15,1.59,0.45,0.66,1.23,0.74,0.34,2.08,0.11,2.92,0.28,0.06,0.25,0.09,0.15,0.49,0.03
15,9,6.89,10.00,6.56,4.33,3.86,2.44,10.95,2.15,17.16,1.74,3.23,4.11,2.34,1.88,1.07,1.37,1.24,0.58,2.00,0.37,0.31,0.64,0.79,0.26,1.12,0.26,0.94,0.11,0.02,0.16,0.08,1.09,0.33,0.02
19,21,7.83,9.95,5.05,7.71,5.07,5.40,3.11,1.51,3.28,1.91,1.96,2.93,2.15,1.80,0.90,1.17,1.15,1.81,1.48,1.30,1.36,2.32,0.68,1.36,0.76,1.01,0.02,1.45,0.98,0.78,0.71,0.35,0.07,0.34
20,22,6.98,10.06,7.81,8.86,5.93,5.05,3.23,1.80,3.04,2.12,1.90,2.60,1.51,1.40,0.94,0.72,0.81,1.35,1.43,1.32,0.89,1.55,0.48,1.56,0.76,0.95,0.65,0.61,0.79,0.80,0.64,0.56,0.02,0.35
21,6,8.66,8.94,6.29,7.92,6.51,4.46,1.87,2.64,2.91,1.88,1.94,2.24,2.36,1.67,0.90,0.82,0.96,2.80,1.85,1.12,1.44,1.68,0.49,1.51,1.04,0.82,0.34,1.12,0.74,0.96,0.91,0.29,0.00,0.19
33,5,7.84,6.87,6.63,5.40,4.51,3.50,1.09,4.28,2.10,1.41,2.98,2.36,0.91,2.42,4.16,1.58,2.27,3.41,0.81,1.08,1.15,1.05,0.61,1.24,1.31,0.75,0.16,0.46,0.32,0.65,0.76,0.39,0.38,3.32
37,25,7.34,11.51,9.99,5.98,5.40,2.28,4.97,2.77,4.19,2.46,4.07,4.34,1.98,1.11,1.29,2.40,1.10,0.53,2.10,0.83,0.64,0.39,1.30,0.54,0.85,0.26,0.23,0.28,0.19,0.43,0.19,0.27,0.32,0.02
43,14,9.88,7.29,5.40,6.30,4.32,3.26,1.20,5.07,1.63,3.52,2.11,1.19,3.36,1.91,1.88,1.81,2.07,1.10,1.18,2.22,1.00,2.37,1.35,1.04,0.84,2.40,0.44,0.42,1.16,1.06,1.19,1.17,0.45,0.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,