Tile,Nutrients,Caging,Microhabitat,Settlers
1,Ambient,Open,Crown,0.115740741
1,Ambient,Open,Crevice,0.086805556
1,Ambient,Open,Side,0.3125
2,Ambient,Open,Crown,0.086805556
2,Ambient,Open,Crevice,0
2,Ambient,Open,Side,0.270833333
3,Ambient,Open,Crown,0.05787037
3,Ambient,Open,Crevice,0.028935185
3,Ambient,Open,Side,0.15625
7,Ambient,Caged,Crown,0
7,Ambient,Caged,Crevice,0
7,Ambient,Caged,Side,0.083333333
8,Ambient,Caged,Crown,0
8,Ambient,Caged,Crevice,0.05787037
8,Ambient,Caged,Side,0.020833333
9,Ambient,Caged,Crown,0.115740741
9,Ambient,Caged,Crevice,0
9,Ambient,Caged,Side,0.114583333
13,Enriched,Open,Crown,0.05787037
13,Enriched,Open,Crevice,0.028935185
13,Enriched,Open,Side,0.15625
14,Enriched,Open,Crown,0.028935185
14,Enriched,Open,Crevice,0.202546296
14,Enriched,Open,Side,0.260416667
15,Enriched,Open,Crown,0.028935185
15,Enriched,Open,Crevice,0
15,Enriched,Open,Side,0.083333333
19,Enriched,Caged,Crown,0.05787037
19,Enriched,Caged,Crevice,0.115740741
19,Enriched,Caged,Side,0.15625
20,Enriched,Caged,Crown,0.231481481
20,Enriched,Caged,Crevice,0.115740741
20,Enriched,Caged,Side,0.104166667
21,Enriched,Caged,Crown,0.086805556
21,Enriched,Caged,Crevice,0.028935185
21,Enriched,Caged,Side,0.020833333
25,Ambient,Open,Crown,0.05787037
25,Ambient,Open,Crevice,0
25,Ambient,Open,Side,0.0625
26,Ambient,Open,Crown,0.028935185
26,Ambient,Open,Crevice,0
26,Ambient,Open,Side,0.03125
27,Ambient,Open,Crown,0.05787037
27,Ambient,Open,Crevice,0
27,Ambient,Open,Side,0.0625
31,Ambient,Caged,Crown,0.028935185
31,Ambient,Caged,Crevice,0
31,Ambient,Caged,Side,0.09375
32,Ambient,Caged,Crown,0.05787037
32,Ambient,Caged,Crevice,0
32,Ambient,Caged,Side,0.083333333
33,Ambient,Caged,Crown,0.086805556
33,Ambient,Caged,Crevice,0
33,Ambient,Caged,Side,0.020833333
37,Enriched,Open,Crown,0.05787037
37,Enriched,Open,Crevice,0
37,Enriched,Open,Side,0.239583333
38,Enriched,Open,Crown,0.144675926
38,Enriched,Open,Crevice,0
38,Enriched,Open,Side,0.114583333
39,Enriched,Open,Crown,0.086805556
39,Enriched,Open,Crevice,0
39,Enriched,Open,Side,0.114583333
43,Enriched,Caged,Crown,0.086805556
43,Enriched,Caged,Crevice,0.028935185
43,Enriched,Caged,Side,0.104166667
44,Enriched,Caged,Crown,0
44,Enriched,Caged,Crevice,0
44,Enriched,Caged,Side,0.0625
45,Enriched,Caged,Crown,0
45,Enriched,Caged,Crevice,0
45,Enriched,Caged,Side,0.052083333