Caging,Nutrients,Microhabitat,CCA,EAM,Inverts,Lobophora,Macroalgae,NCCA,Thick_turf,Turf
Caged,Nutrient,Side,0,0,0,0,0,0,0,100
Partial,Nutrient,Side,0,0,0,0,0,0,0,100
Open,Nutrient,Side,33.33333333,0,0,0,0,4.166666667,0,62.5
Caged,Ambient,Side,0,0,0,0,0,0,0,100
Partial,Ambient,Side,0,0,0,4.166666667,0,0,0,95.83333333
Open,Ambient,Side,4.166666667,0,8.333333333,12.5,0,0,0,75
Caged,Nutrient,Side,0,0,0,4.166666667,0,0,0,95.83333333
Partial,Nutrient,Side,16.66666667,0,8.333333333,0,0,0,0,75
Open,Nutrient,Side,50,8.333333333,0,4.166666667,0,4.166666667,0,33.33333333
Caged,Nutrient,Side,0,0,0,4.166666667,0,0,0,95.83333333
Partial,Nutrient,Side,12.5,0,0,20.83333333,0,0,0,66.66666667
Open,Nutrient,Side,41.66666667,0,0,25,0,0,0,33.33333333
Caged,Ambient,Side,4.166666667,0,0,8.333333333,0,12.5,0,75
Partial,Ambient,Side,33.33333333,0,0,4.166666667,0,4.166666667,0,58.33333333
Open,Ambient,Side,8.333333333,0,0,8.333333333,0,0,0,83.33333333
Caged,Nutrient,Side,0,0,0,0,8.333333333,0,0,91.66666667
Partial,Nutrient,Side,4.166666667,0,0,20.83333333,0,0,0,75
Open,Nutrient,Side,4.166666667,0,0,0,0,29.16666667,0,66.66666667
Caged,Ambient,Side,45.83333333,0,0,0,0,0,0,54.16666667
Partial,Ambient,Side,37.5,0,0,4.166666667,0,12.5,0,45.83333333
Open,Ambient,Side,58.33333333,0,0,0,0,0,0,41.66666667
Caged,Ambient,Side,16.66666667,4.166666667,4.166666667,12.5,0,0,33.33333333,29.16666667
Partial,Ambient,Side,16.66666667,0,0,0,0,0,0,83.33333333
Open,Ambient,Side,12.5,0,0,0,0,29.16666667,0,58.33333333
Caged,Nutrient,Side,4.166666667,0,12.5,41.66666667,0,0,0,41.66666667
Partial,Nutrient,Side,25,0,0,12.5,0,0,0,62.5
Open,Nutrient,Side,25,0,0,25,0,0,0,50
Caged,Ambient,Side,20.83333333,0,0,0,0,0,0,79.16666667
Partial,Ambient,Side,33.33333333,0,0,0,0,0,0,66.66666667
Open,Ambient,Side,29.16666667,0,0,12.5,4.166666667,0,0,54.16666667
Caged,Ambient,Side,20.83333333,0,0,16.66666667,0,0,0,62.5
Partial,Ambient,Side,33.33333333,0,0,8.333333333,0,0,0,58.33333333
Open,Ambient,Side,54.16666667,0,0,8.333333333,0,0,0,37.5
Caged,Nutrient,Side,0,0,0,0,0,0,45.83333333,54.16666667
Partial,Nutrient,Side,4.166666667,0,8.333333333,8.333333333,0,0,0,79.16666667
Open,Nutrient,Side,20.83333333,0,0,12.5,0,8.333333333,0,58.33333333