order,log2FC,treatment
BH__Acidobacteria_Holophagae_Acanthopleuribacterales,0.735468451,AC_AO
BH__Acidobacteria_Holophagae_Acanthopleuribacterales,-1.819260716,NO_AO
BH__Acidobacteria_Holophagae_Acanthopleuribacterales,-0.349837193,NC_AO
BG__Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,1.120229684,AC_AO
BG__Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,-0.063464114,NO_AO
BG__Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,1.488299652,NC_AO
AA__Bacteria,0.003163995,AC_AO
AA__Bacteria,0.117781078,NO_AO
AA__Bacteria,0.549782238,NC_AO
BF__Bacteroidetes_Bacteroidia_Chitinophagales,-0.205422369,AC_AO
BF__Bacteroidetes_Bacteroidia_Chitinophagales,-0.066682718,NO_AO
BF__Bacteroidetes_Bacteroidia_Chitinophagales,-0.345990102,NC_AO
BE__Bacteroidetes_Bacteroidia_Flavobacteriales,-0.239144235,AC_AO
BE__Bacteroidetes_Bacteroidia_Flavobacteriales,0.138766207,NO_AO
BE__Bacteroidetes_Bacteroidia_Flavobacteriales,-0.108588924,NC_AO
BD__Chloroflexi_Anaerolineae_SBR1031,0.987359902,AC_AO
BD__Chloroflexi_Anaerolineae_SBR1031,-0.146271368,NO_AO
BD__Chloroflexi_Anaerolineae_SBR1031,1.047742283,NC_AO
BC__Cyanobacteria_Melainabacteria_Vampirovibrionales,1.73844077,AC_AO
BC__Cyanobacteria_Melainabacteria_Vampirovibrionales,-0.512453122,NO_AO
BC__Cyanobacteria_Melainabacteria_Vampirovibrionales,0.563914913,NC_AO
BB__Cyanobacteria_Oxyphotobacteria_Eurycoccales,0.247358318,AC_AO
BB__Cyanobacteria_Oxyphotobacteria_Eurycoccales,0.164302553,NO_AO
BB__Cyanobacteria_Oxyphotobacteria_Eurycoccales,0.930959314,NC_AO
BA__Cyanobacteria_Oxyphotobacteria_Phormidesmiales,-0.442437377,AC_AO
BA__Cyanobacteria_Oxyphotobacteria_Phormidesmiales,0.491265466,NO_AO
BA__Cyanobacteria_Oxyphotobacteria_Phormidesmiales,-0.525438611,NC_AO
AZ__Cyanobacteria_Oxyphotobacteria_Thermosynechococcales,3.901471547,AC_AO
AZ__Cyanobacteria_Oxyphotobacteria_Thermosynechococcales,1.297975732,NO_AO
AZ__Cyanobacteria_Oxyphotobacteria_Thermosynechococcales,4.921212057,NC_AO
AY__Cyanobacteria_Oxyphotobacteria_unclassified,0.858913598,AC_AO
AY__Cyanobacteria_Oxyphotobacteria_unclassified,0.516966669,NO_AO
AY__Cyanobacteria_Oxyphotobacteria_unclassified,1.198182594,NC_AO
AX__Epsilonbacteraeota_Campylobacteria_Campylobacterales,2.771416945,AC_AO
AX__Epsilonbacteraeota_Campylobacteria_Campylobacterales,1.280127366,NO_AO
AX__Epsilonbacteraeota_Campylobacteria_Campylobacterales,2.226817127,NC_AO
AW__Kiritimatiellaeota_Kiritimatiellae_WCHB1-41,3.091484705,AC_AO
AW__Kiritimatiellaeota_Kiritimatiellae_WCHB1-41,0.667382333,NO_AO
AW__Kiritimatiellaeota_Kiritimatiellae_WCHB1-41,3.557957683,NC_AO
AV__Patescibacteria_Gracilibacteria_Absconditabacteriales (SR1),-0.74399515,AC_AO
AV__Patescibacteria_Gracilibacteria_Absconditabacteriales (SR1),-0.22026127,NO_AO
AV__Patescibacteria_Gracilibacteria_Absconditabacteriales (SR1),-1.265081743,NC_AO
AU__Planctomycetes_BD7-11_unclassified,1.284464645,AC_AO
AU__Planctomycetes_BD7-11_unclassified,-0.174941152,NO_AO
AU__Planctomycetes_BD7-11_unclassified,2.260258243,NC_AO
AT__Planctomycetes_Planctomycetacia_Pirellulales,-0.460077827,AC_AO
AT__Planctomycetes_Planctomycetacia_Pirellulales,-0.211465103,NO_AO
AT__Planctomycetes_Planctomycetacia_Pirellulales,-0.227107551,NC_AO
AS__Planctomycetes_vadinHA49_unclassified,1.445781718,AC_AO
AS__Planctomycetes_vadinHA49_unclassified,-0.129511626,NO_AO
AS__Planctomycetes_vadinHA49_unclassified,1.512169479,NC_AO
AR__Proteobacteria_Alphaproteobacteria_Kordiimonadales,1.620123868,AC_AO
AR__Proteobacteria_Alphaproteobacteria_Kordiimonadales,-0.438093503,NO_AO
AR__Proteobacteria_Alphaproteobacteria_Kordiimonadales,1.874781896,NC_AO
AQ__Proteobacteria_Alphaproteobacteria_Parvibaculales,1.171960208,AC_AO
AQ__Proteobacteria_Alphaproteobacteria_Parvibaculales,0.716495358,NO_AO
AQ__Proteobacteria_Alphaproteobacteria_Parvibaculales,0.260981277,NC_AO
AP__Proteobacteria_Alphaproteobacteria_Rhizobiales,-0.414401002,AC_AO
AP__Proteobacteria_Alphaproteobacteria_Rhizobiales,-0.072448366,NO_AO
AP__Proteobacteria_Alphaproteobacteria_Rhizobiales,-0.492748574,NC_AO
AO__Proteobacteria_Alphaproteobacteria_Rhodospirillales,2.390767883,AC_AO
AO__Proteobacteria_Alphaproteobacteria_Rhodospirillales,0.859411817,NO_AO
AO__Proteobacteria_Alphaproteobacteria_Rhodospirillales,3.20640456,NC_AO
AN__Proteobacteria_Alphaproteobacteria_Rhodovibrionales,0.800250881,AC_AO
AN__Proteobacteria_Alphaproteobacteria_Rhodovibrionales,0.047047074,NO_AO
AN__Proteobacteria_Alphaproteobacteria_Rhodovibrionales,0.894872709,NC_AO
AM__Proteobacteria_Alphaproteobacteria_Sphingomonadales,-0.425251012,AC_AO
AM__Proteobacteria_Alphaproteobacteria_Sphingomonadales,0.300434526,NO_AO
AM__Proteobacteria_Alphaproteobacteria_Sphingomonadales,-0.587216066,NC_AO
AL__Proteobacteria_Alphaproteobacteria_unclassified,0.581351234,AC_AO
AL__Proteobacteria_Alphaproteobacteria_unclassified,-0.248344771,NO_AO
AL__Proteobacteria_Alphaproteobacteria_unclassified,0.411871786,NC_AO
AK__Proteobacteria_Deltaproteobacteria_Bradymonadales,-0.607275256,AC_AO
AK__Proteobacteria_Deltaproteobacteria_Bradymonadales,0.049719616,NO_AO
AK__Proteobacteria_Deltaproteobacteria_Bradymonadales,-0.734916549,NC_AO
AJ__Proteobacteria_Deltaproteobacteria_Myxococcales,0.880638517,AC_AO
AJ__Proteobacteria_Deltaproteobacteria_Myxococcales,0.439169418,NO_AO
AJ__Proteobacteria_Deltaproteobacteria_Myxococcales,1.255320605,NC_AO
AI__Proteobacteria_Gammaproteobacteria_Alteromonadales,-0.895755831,AC_AO
AI__Proteobacteria_Gammaproteobacteria_Alteromonadales,0.3636136,NO_AO
AI__Proteobacteria_Gammaproteobacteria_Alteromonadales,-1.064254636,NC_AO
AH__Proteobacteria_Gammaproteobacteria_Arenicellales,-0.614896965,AC_AO
AH__Proteobacteria_Gammaproteobacteria_Arenicellales,-0.129822445,NO_AO
AH__Proteobacteria_Gammaproteobacteria_Arenicellales,-0.201040778,NC_AO
AG__Proteobacteria_Gammaproteobacteria_Beggiatoales,5.115450157,AC_AO
AG__Proteobacteria_Gammaproteobacteria_Beggiatoales,2.515529598,NO_AO
AG__Proteobacteria_Gammaproteobacteria_Beggiatoales,3.143649308,NC_AO
AF__Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,0.956752591,AC_AO
AF__Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,1.734739582,NO_AO
AF__Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,1.90232993,NC_AO
AE__Proteobacteria_Gammaproteobacteria_Cellvibrionales,0.605416537,AC_AO
AE__Proteobacteria_Gammaproteobacteria_Cellvibrionales,-0.033835443,NO_AO
AE__Proteobacteria_Gammaproteobacteria_Cellvibrionales,0.96005658,NC_AO
AD__Proteobacteria_Gammaproteobacteria_Steroidobacterales,0.724595508,AC_AO
AD__Proteobacteria_Gammaproteobacteria_Steroidobacterales,0.032224324,NO_AO
AD__Proteobacteria_Gammaproteobacteria_Steroidobacterales,1.283100905,NC_AO
AC__Verrucomicrobia_Verrucomicrobiae_Opitutales,0.88692251,AC_AO
AC__Verrucomicrobia_Verrucomicrobiae_Opitutales,-0.038862079,NO_AO
AC__Verrucomicrobia_Verrucomicrobiae_Opitutales,0.931990785,NC_AO
AB__Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,0.030521898,AC_AO
AB__Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,-0.105558113,NO_AO
AB__Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,0.386532778,NC_AO
